Date;AMD;BTC-EUR;BTP10.MI;CSSPX.MI;CSSX5E.MI;CVS;CVX;ENEL.MI;HEMA.MI;IBGX.MI;ISP.MI;LDO.MI;NVDA;PPFB.DE;QNTM.MI;SOL-EUR;SWDA.MI;TSLA;XRP-EUR;OBBL2030
2025-08-11;147.90581813898277;102209.84375;152.42999267578125;587.6199951171875;202.64999389648438;54.32145680728433;127.60217995865526;7.620956897735596;11.62600040435791;160.35855102539062;5.148731708526611;45.11000061035156;156.27616507646957;56.08000183105469;18.761999130249023;150.62948608398438;104.18000030517578;291.06402193181447;2.69834303855896;19.99
2025-08-12;150.57946769746187;102908.8671875;151.8800048828125;587.1900024414062;202.6999969482422;54.9882102492217;128.7515365378029;7.650223255157471;11.657999992370605;160.18072509765625;5.166136264801025;45.91999816894531;157.6196199117159;55.73500061035156;18.718000411987305;164.294677734375;104.19999694824219;293.3609952205266;2.7972400188446045;19.99
2025-08-13;157.9336022819628;105310.7890625;152.86000061035156;587.72998046875;204.8000030517578;55.037940459359255;129.29145651333016;7.749728679656982;11.781999588012695;160.53636169433594;5.250256061553955;46.70000076293945;155.48421115281653;55.625;18.836000442504883;172.11729431152344;104.33999633789062;290.6382564027071;2.8009591102600098;19.99
2025-08-14;154.48787342551063;101591.2265625;152.57000732421875;591.280029296875;206.4499969482422;55.56062595167039;128.30880016430737;7.822895050048828;11.682000160217285;160.5264892578125;5.326641082763672;47.79999923706055;155.3755696791416;55.724998474121094;18.687999725341797;165.30172729492188;104.83999633789062;286.5047768115718;2.64667010307312;19.99
2025-08-15;152.3514984923557;100299.046875;152.57000732421875;591.280029296875;206.4499969482422;57.41934304952487;130.14208658874384;7.822895050048828;11.682000160217285;160.5264892578125;5.326641082763672;47.79999923706055;154.84908035793853;55.435001373291016;18.687999725341797;158.6876678466797;104.83999633789062;283.7097207376781;2.6302530765533447;19.99
2025-08-16;152.3514984923557;100378.5;152.57000732421875;591.280029296875;206.4499969482422;57.41934304952487;130.14208658874384;7.822895050048828;11.682000160217285;160.5264892578125;5.326641082763672;47.79999923706055;154.84908035793853;55.435001373291016;18.687999725341797;162.12705993652344;104.83999633789062;283.7097207376781;2.655432939529419;19.99
2025-08-17;152.3514984923557;100331.4609375;152.57000732421875;591.280029296875;206.4499969482422;57.41934304952487;130.14208658874384;7.822895050048828;11.682000160217285;160.5264892578125;5.326641082763672;47.79999923706055;154.84908035793853;55.435001373291016;18.687999725341797;163.29795837402344;104.83999633789062;283.7097207376781;2.6387391090393066;19.99
2025-08-18;150.46229805776807;99632.8828125;151.5800018310547;589.4199829101562;206.5500030517578;58.45630347334172;128.51028222753575;7.783873081207275;11.736000061035156;160.1905975341797;5.307302951812744;49.310001373291016;155.45071774018382;55.4900016784668;18.805999755859375;156.898193359375;104.75;286.3003550743432;2.6238129138946533;19.99
2025-08-19;142.7366879332807;96921.8671875;151.77999877929688;588.7000122070312;208.4499969482422;59.316565237504435;127.58018625042295;7.8404541015625;11.696000099182129;160.35855102539062;5.419463634490967;44.29999923706055;150.5019803614834;55.369998931884766;18.607999801635742;151.2802734375;104.7300033569336;282.2252626451352;2.4506590366363525;19.99
2025-08-20;141.8935843693621;98083.15625;152.14999389648438;584.219970703125;208.0;59.322420610948086;128.88931301617987;7.899962425231934;11.637999534606934;160.5166015625;5.388522624969482;44.86000061035156;150.62953332118292;55.654998779296875;18.23200035095215;161.0072021484375;104.1500015258789;278.2041886210562;2.5326569080352783;19.99
